,full_players_used,full_gk_games,full_gk_games_starts,full_gk_minutes,full_minutes_90s,full_gk_goals_against,full_gk_goals_against_per90,full_gk_shots_on_target_against,full_gk_saves,full_gk_save_pct,full_gk_wins,full_gk_ties,full_gk_losses,full_gk_clean_sheets,full_gk_clean_sheets_pct,full_gk_pens_att,full_gk_pens_allowed,full_gk_pens_saved,full_gk_pens_missed,full_gk_pens_save_pct
Angers,1,26,26,"2,340",26.0,42,1.62,153,111,74.5,7,6,13,5,19.2,4,3,0,1,0.0
Auxerre,2,26,26,"2,340",26.0,39,1.50,130,92,73.8,8,8,10,7,26.9,6,5,1,0,16.7
Brest,2,26,26,"2,340",26.0,40,1.54,105,65,66.7,11,4,11,8,30.8,7,5,1,1,16.7
Le Havre,2,26,26,"2,340",26.0,55,2.12,133,78,62.4,6,3,17,3,11.5,6,5,1,0,16.7
Lens,3,26,26,"2,340",26.0,29,1.12,105,76,80.0,11,6,9,11,42.3,8,8,0,0,0.0
Lille,1,26,26,"2,340",26.0,28,1.08,99,71,74.7,12,8,6,9,34.6,3,3,0,0,0.0
Lyon,1,26,26,"2,340",26.0,33,1.27,132,99,77.3,13,6,7,9,34.6,3,3,0,0,0.0
Marseille,1,26,26,"2,340",26.0,33,1.27,105,71,70.5,15,4,7,5,19.2,5,2,3,0,60.0
Monaco,2,26,26,"2,340",26.0,32,1.23,100,68,71.0,14,5,7,8,30.8,3,3,0,0,0.0
Montpellier,2,25,25,"2,250",25.5,59,2.36,146,88,63.0,4,3,18,0,0.0,6,5,1,0,16.7
Nantes,3,26,26,"2,340",26.0,43,1.65,117,77,67.5,6,9,11,4,15.4,5,5,0,0,0.0
Nice,1,26,26,"2,340",26.0,31,1.19,123,93,76.4,13,8,5,6,23.1,2,2,0,0,0.0
Paris S-G,2,26,26,"2,340",26.0,25,0.96,87,62,74.7,21,5,0,6,23.1,3,3,0,0,0.0
Reims,1,26,26,"2,340",26.0,40,1.54,137,96,73.0,5,8,13,4,15.4,4,3,1,0,25.0
Rennes,3,26,26,"2,340",26.0,37,1.42,101,64,65.3,9,2,15,9,34.6,4,2,2,0,50.0
Saint-Ã‰tienne,1,25,25,"2,250",25.5,57,2.28,160,103,71.9,5,5,15,3,12.0,14,12,2,0,14.3
Strasbourg,2,26,26,"2,340",26.0,33,1.27,125,93,77.6,12,7,7,8,30.8,6,5,1,0,16.7
Toulouse,3,26,26,"2,340",26.0,29,1.12,77,49,63.6,9,7,10,9,34.6,2,1,1,0,50.0
